순번,출원일,출원번호,등록일,등록번호,주발명자,공동발명자,출원의 명칭(한),분야별 기술(6T),데이터기준일
127,2021-06-30,10-2021-0085948,2024-10-22,10-2722330,방효충,"방효충,권혁준",통합 항법 기반의 레이다 자세 추정 방법 및 그를 위한 장치,나노기술(NT),2024-12-31
128,2021-03-03,10-2021-0027981,2024-05-22,10-2669448,이준구,"이준구,김창준,박경덕",양자회로 에러 보정 방법 및 그 장치,정보기술(IT),2024-12-31
129,2021-12-29,10-2021-0190889,2024-12-11,10-2743221,김신현,"김신현,한상훈,최예훈",유멜라닌 나노입자를 이용한 광결정 구조체 ,나노기술(NT),2024-12-31
130,2021-09-01,10-2021-0116339,2024-07-30,10-2691563,김신현,"김신현,김종빈,한상훈",구조색 구조체 직접인쇄용 잉크 조성물 및 이를 이용한 구조색 구조체 제조방법,생명공학기술(BT),2024-12-31
131,2022-04-14,10-2022-0046532,2024-04-16,10-2659355,이승섭,"이승섭,정지훈,채지환,이정우",공기 정화 장치,나노기술(NT),2024-12-31
132,2021-06-22,10-2021-0081129,2024-02-01,10-2634153,배충식,"배충식,김우영,김현수","열효율 향상을 위한 피스톤 보울 형상을 가지는 반응성제어 압축착화 엔진, 이를 포함하는 엔진 시스템 및 이를 제어하는 방법",나노기술(NT),2024-12-31
133,2021-04-27,10-2021-0054296,2024-02-28,10-2643592,최준균,"최준균,이경호,한재섭",에지 컴퓨팅 환경에서의 IoT 누락데이터 관리 방법 및 장치,정보기술(IT),2024-12-31
134,2021-08-13,10-2021-0107628,2024-01-02,10-2621234,이현주,"이현주,김범식",알루미나 상에 담지된 나노-세리아의 구조 변형을 통한 황 피독 저항성 개선방법,생명공학기술(BT),2024-12-31
135,2021-07-08,10-2021-0089890,2024-04-02,10-2655213,공승현,"공승현,백동희,한승태",4차원 레이더의 포인트 클라우드 필터링 방법 및 데이터 처리 장치,정보기술(IT),2024-12-31
136,2021-12-29,10-2021-0190639,2024-07-18,10-2687744,손훈,"손훈,장진호",장단기 기억 네트워크 기반 스펙트럼 노이즈 감소 및 비선형 초음파 변조를 이용한 구조물의 피로 균열 검출 방법 및 이를 위한 시스템,나노기술(NT),2024-12-31
137,2021-06-21,10-2021-0080089,2024-01-02,10-2621744,최양규,"최양규,한준규",빛에 반응하는 뉴런 소자를 구현하는 트랜지스터,정보기술(IT),2024-12-31
138,2021-04-12,10-2021-0047071,2024-07-29,10-2690859,박현규,"박현규,김성현,주용,정희선",과산화효소 활성에 의한 발색반응 기반의 하이포잔틴 검출방법,생명공학기술(BT),2024-12-31
139,2021-07-07,10-2021-0089290,2024-07-24,10-2689375,구승범,"구승범,오정석,부준요",다방향 엑스선 영상을 이용한 영상 내 골격 추정 장치 및 방법,정보기술(IT),2024-12-31
140,2021-04-22,10-2021-0052601,2024-02-13,10-2637690,안드리아,"안드리아,유능,이우진,김명진",유연한 물체의 동적 촉감 피드백을 구현하는 장치 및 방법,정보기술(IT),2024-12-31
141,2021-07-27,10-2021-0098217,2024-11-12,10-2730875,조승룡,"조승룡,조환희,이동현",서로 다른 공간 해상도를 갖는 방사선 영상을 위한 영상 업샘플링 방법 및 물질 분별 방법 ,정보기술(IT),2024-12-31
142,2021-05-21,10-2021-0065584,2024-01-18,10-2628179,전상훈,"전상훈,김기욱","3차원 구조 메모리, 이의 동작 방법 및 이의 제조 방법",정보기술(IT),2024-12-31
143,2021-09-27,10-2021-0126837,2024-04-02,10-2655202,전상훈,"전상훈,황정현",강유전체 전계효과 트랜지스터 기반의 비휘발성 다수결 함수 로직-인-메모리,정보기술(IT),2024-12-31
144,2021-05-28,10-2021-0068818,2024-06-21,10-2678475,김아영,"김아영,장혜수",음파와 광학 매칭을 통한 수중 경로 추정을 위한 전자 장치 및 그의 동작 방법,정보기술(IT),2024-12-31
145,2021-07-14,10-2021-0092055,2024-12-05,10-2740997,정기준,"정기준,전은정",고효율 분비능을 가지는 합성 분비 신호 펩타이드 및 이를 포함하는 분비 발현 시스템,생명공학기술(BT),2024-12-31
146,2021-10-19,10-2021-0139395,2024-04-23,10-2661332,정우철,"정우철,이시원,김승현",백금 나노입자-금속 산화물 복합체의 제조 방법,생명공학기술(BT),2024-12-31
147,2021-10-13,10-2021-0135583,2024-04-02,10-2655333,배현민,"배현민,오석환,김명기",초음파 데이터를 이용한 다변수 정량적 이미징 방법 및 장치,정보기술(IT),2024-12-31
148,2021-08-31,10-2021-0115900,2024-02-28,10-2643431,유회준,"유회준,이주형",심층 강화학습을 위한 심층 신경망 학습 가속 장치 및 그 방법,정보기술(IT),2024-12-31
149,2021-06-07,10-2021-0073680,2024-03-19,10-2650643,서재명,"서재명,유권,이규선,김송철,염은별,전은성,신혜미",인슐린 유사 펩티드 3을 포함하는 조성물 및 이의 용도,생명공학기술(BT),2024-12-31
150,2021-04-15,10-2021-0049267,2024-12-24,10-2748228,예종철,"예종철,구자욱,양동현",의료영상 처리 장치와 그 의료영상 학습 방법 및 의료영상 처리 방법,정보기술(IT),2024-12-31
151,2021-12-01,10-2021-0170296,2024-10-15,10-2719657,김형수,"김형수,박광석,편정수,전혜준",무소결 액체금속 잉크의 제조방법,나노기술(NT),2024-12-31
152,2021-08-31,10-2021-0115775,2024-10-28,10-2724307,조병관,"조병관,김동립,진상락,전예일,전민수",황화 카드뮴 나노 입자가 부착된 균주 및 이를 이용한 인공 광합성 시스템,생명공학기술(BT),2024-12-31
153,2021-11-12,10-2021-0155437,2024-08-14,10-2696758,송준화,"송준화,김원중,이승철,장영재,이태경,황인석","사물 인터넷 장치의 사회적 제어 및 사용 시스템 및 방법, 사물 인터넷 장치의 사회적 제어 및 사용을 지원하는 컨트롤 서버 및 사물 인터넷 장치의 사회적 제어 및 사용에 이용되는 모바일 장치",정보기술(IT),2024-12-31
154,2021-06-28,10-2021-0083682,2024-08-06,10-2693961,윤성의,"윤성의,조인영,곽치우",광선 추적법의 노이즈 제거를 위한 약한 지도 학습 기반 광선 클러스터링 학습 방법,정보기술(IT),2024-12-31
155,2021-09-14,10-2021-0122684,2024-11-22,10-2735258,김천곤,"김천곤,장우혁,장민수,진도현",샌드위치 구조의 전자파 흡수체를 갖는 스텔스 안테나,나노기술(NT),2024-12-31
156,2021-10-25,10-2021-0142737,2024-12-03,10-2739899,최길주,"최길주,DUC LE DUY,김우현,임수환,김선창",진세노사이드 생합성에 관여하는 신규 당전이효소 및 그 용도,생명공학기술(BT),2024-12-31
157,2021-06-10,10-2021-0075626,2024-01-29,10-2632513,권동수,"권동수,백현우",초소형 유연 수술도구의 멀티 루멘 튜브 장치,나노기술(NT),2024-12-31
158,2021-06-10,10-2021-0075609,2024-01-29,10-2632525,권동수,"권동수,백현우",초소형 유연 수술도구의 와이어 분배 장치,나노기술(NT),2024-12-31
159,2021-07-01,10-2021-0086567,2024-05-23,10-2670143,서성배,"서성배,김진은,김유진,정원교",신경세포 활성의 인 비보 이미징 기법을 이용한 새로운 약물 스크리닝 플랫폼 기술 ,생명공학기술(BT),2024-12-31
160,2021-06-16,10-2021-0077837,2024-07-02,10-2682206,김성진,"김성진,이영종,임종현",진동형 히트 파이프 기반 배터리 냉각 모듈 및 이를 포함하는 배터리 유닛,나노기술(NT),2024-12-31
161,2022-01-13,10-2022-0005216,2024-10-07,10-2716161,안승영,"안승영,이재원,안장용,박동렬,김동욱,이범선",무선전력 전송을 이용한 마이크로 로봇 추진 시스템,정보기술(IT),2024-12-31
162,2021-06-23,10-2021-0081347,2024-08-06,10-2693960,이상완,"이상완,박건영",적대적 공격에 강건한 신경망 학습을 위한 은닉 섭동 기반 가속화 방법 및 장치,정보기술(IT),2024-12-31
163,2021-11-24,10-2021-0163786,2024-01-03,10-2622257,김정원,"김정원,권도현","칩-스케일 광주파수빗의 주파수 안정화 방법 및 장치, 이를 이용한 안정화된 광주파수빗 제공 시스템",정보기술(IT),2024-12-31
164,2021-07-28,10-2021-0099436,2024-09-25,10-2711803,김택수,"김택수,안광호,표재범,김지훈,윤현철,서우근,이지은,송하나,백인영",마이크로카테터 및 마이크로카테터 시스템,나노기술(NT),2024-12-31
165,2022-03-15,10-2022-0032304,2024-08-13,10-2696443,공승현,"공승현,조상재,이상욱 ",이산적 시변 주파수를 가지는 가변 이진 오프셋 반송파 변조 방법 및 이를 이용하는 위성항법 신호 생성 장치,정보기술(IT),2024-12-31
166,2021-10-18,10-2021-0138241,2024-07-29,10-2690861,이상엽,"이상엽,임정애,장유신,성현정,윤예린,이행림",로그기에서 부탄올을 생산하는 클로스트리듐 균주,생명공학기술(BT),2024-12-31
167,2021-07-08,10-2021-0089419,2024-04-02,10-2655200,장재범,"장재범,윤영규,서준영,심연보",반복색분리를 통한 분자 다중 이미징 방법 및 장치,정보기술(IT),2024-12-31
168,2021-07-09,10-2021-0090057,2024-01-18,10-2628182,장재범,"장재범,윤영규,서준영,심연보,김지원",상호정보량 최소화를 통한 다색 분리 방법 및 장치,정보기술(IT),2024-12-31
169,2021-12-03,10-2021-0171431,2024-10-14,10-2718966,장재범,"장재범,서준영,윤영규,김현우,김지원",동시적 채널 업데이트 구조의 반복 상호정보량 최소화를 통한 다색 분리 방법 및 장치,정보기술(IT),2024-12-31
170,2021-12-24,10-2021-0187647,2024-07-16,10-2686707,조규성,"조규성,김준혁,황지성,김진환",고스트 이미지 획득 방법 및 이를 이용한 전자 장치,정보기술(IT),2024-12-31
171,2021-09-01,10-2021-0116487,2024-04-22,10-2660787,이강택,"이강택,김경준",고체산화물 연료전지용 LSCFP계 전극 소재 및 제조방법 ,환경/에너지기술(ET),2024-12-31
172,2021-12-01,10-2021-0170224,2024-07-04,10-2683186,전석우,"전석우,함영진","유기계 활물질을 포함하는 정렬된 3차원 다공성 나노네트워크 전극, 이의 제조 방법 및 이를 포함하는 이차 전지",나노기술(NT),2024-12-31
173,2021-11-24,10-2021-0163466,2024-01-10,10-2624791,최벽파,"최벽파,유보령,최원석,임수란,심철용",고온용 고엔트로피합금 및 제조방법,우주항공기술(ST),2024-12-31
174,2021-11-30,10-2021-0167887,2024-12-24,10-2748168,윤태성,"윤태성,남정언",유인기와 무인기로 구성된 복합 체계의 최적 임무 결정을 위한 컴퓨터 장치 및 그의 방법,정보기술(IT),2024-12-31
175,2021-08-18,10-2021-0108835,2024-03-26,10-2653004,홍정욱,"홍정욱,진수영,김선우",비정규 상태기반 페리다이나믹스와 디지털 이미지 상관법을 이용한 불연속 영역을 포함하는 구조물의 변위장 및 응력장 측정방법,정보기술(IT),2024-12-31
176,2021-07-13,10-2021-0091418,2024-04-22,10-2660736,강병훈,"강병훈,송치현,김건우",신뢰실행환경(TEE)에서 안전하게 가속기로 연산을 오프로딩하는 기법,정보기술(IT),2024-12-31
177,2021-08-24,10-2021-0111482,2024-07-31,10-2691965,김성수,"김성수,정재문,강다정,정광일,임수현",샌드위치 구조의 SMPC 굽힘 액추에이터,우주항공기술(ST),2024-12-31
178,2021-11-25,10-2021-0164445,2024-05-13,10-2666929,정상권,"정상권,김경중",냉각보조용 실린더구조를 갖는 극저온 액체 왕복동 펌프,정보기술(IT),2024-12-31
179,2021-11-11,10-2021-0154532,2024-09-20,10-2709692,홍성철,"홍성철,이규하",이중 대역 매칭 네트워크 회로 및 이를 포함하는 이중 대역 스위치,정보기술(IT),2024-12-31
180,2021-08-12,10-2021-0106800,2024-06-21,10-2678485,최준일,"최준일,김수철,이형택,차지훈",저복잡도를 갖는 지능형 반사 표면에서의 최적 위상 변이 조절 방법 및 장치,정보기술(IT),2024-12-31
181,2022-02-21,10-2022-0021916,2024-01-31,10-2633513,전상훈,"전상훈,이상호",강유전체 기반 메모리 소자 및 그 제조 방법,나노기술(NT),2024-12-31
182,2021-09-24,10-2021-0126696,2024-04-15,10-2658912,유회준,"유회준,김소연",도메인별 최적화를 위한 생성 신경망의 에너지 효율적인 재학습 방법,정보기술(IT),2024-12-31
183,2021-12-13,10-2021-0178093,2024-05-13,10-2666994,유종원,"유종원,조현영,안병권,이찬희",낮은 측엽 레벨을 가지는 배열 안테나 ,정보기술(IT),2024-12-31
184,2021-06-15,10-2021-0077401,2024-08-06,10-2694020,예종철,"예종철,정형진,오규택,박상준,김보아,김정솔",변환기와 연합 분리 학습을 이용한 태스크 범용적 영상 처리 방법 및 그 시스템,정보기술(IT),2024-12-31
185,2022-01-11,10-2022-0003941,2024-12-24,10-2748090,배병수,"배병수,이융",전 방향 신축성을 갖는 섬유 강화 복합체 필름 및 그 제조방법,나노기술(NT),2024-12-31
186,2021-07-08,10-2021-0089616,2024-05-27,10-2670635,박기수,"박기수,박상하,정시온",코일형 동축 열전대 장치 및 그 제조 방법,우주항공기술(ST),2024-12-31
187,2021-10-01,10-2021-0131106,2024-05-31,10-2672770,홍성철,"홍성철,한가원",안테나 서브 어레이들을 포함하는 다중입력 다중출력 레이다 장치 및 이의 동작 방법,정보기술(IT),2024-12-31
188,2021-08-11,10-2021-0106212,2024-11-07,10-2729269,김주호,"김주호,멍시아,홍지형,Mehmet Hamza Erol,Yankun Zhao",교수자 피드백을 활용한 온라인 영어 튜터링 학습 이력 성찰용 인터랙티브 시각화　방법 및 시스템,정보기술(IT),2024-12-31
189,2021-08-13,10-2021-0107379,2024-06-21,10-2678651,황유진,"황유진,김성훈,박용석,김준태","동맥압 웨이블릿 변환 기반 저혈압을 예측하기 위한 장치, 방법 및 이의 저혈압 예측 모델 학습 방법",생명공학기술(BT),2024-12-31
190,2021-06-14,10-2021-0076585,2024-10-24,10-2723171,신의철,"신의철,최승진",신규한 코로나 바이러스의 에피토프 및 이의 용도,생명공학기술(BT),2024-12-31
191,2021-07-07,10-2021-0089224,2024-01-10,10-2625829,김산하,"김산하,강석경,김성재,정지훈",수직으로 정렬된 탄소나노튜브를 이용한 고정-연마재 패드 및 제작 방법,나노기술(NT),2024-12-31
192,2021-11-30,10-2021-0168043,2024-01-08,10-2624192,제민규,"제민규,윤동현,이병석,김근회,구자혁,심훈기",프리차지 방법 및 이를 이용하는 프리차지 회로 ,환경/에너지기술(ET),2024-12-31
193,2021-06-14,10-2021-0076760,2024-07-29,10-2690858,이상엽,"이상엽,방준호,황창훈,안정호,이종언",이산화탄소와 개미산만으로 성장 가능한 재조합 미생물 및 상기 재조합 미생물을 이용하여 유용물질을 제조하는 방법,생명공학기술(BT),2024-12-31
194,2021-12-22,10-2021-0184730,2024-10-15,10-2719332,신영수,"신영수,권용휘,정기윤",반도체 소자에서의 전압 강하 예측 방법 및 장치,정보기술(IT),2024-12-31
195,2021-08-11,10-2021-0106202,2024-01-03,10-2622067,김주호,"김주호,홍지형,멍시아",대화 전사 자료를 이용한 영어 회화 능력 분석 방법 및 시스템,정보기술(IT),2024-12-31
196,2021-07-20,10-2021-0095105,2024-12-24,10-2748167,장재범,"장재범,심주은",핵산을 매개로 한 패턴 복제 및 이를 이용한 이차원 재료 제작 방법,나노기술(NT),2024-12-31
197,2021-10-15,10-2021-0137414,2024-11-13,10-2731668,제민규,"제민규,권순재,김영인,최인준",신경 신호 기록 회로,정보기술(IT),2024-12-31
198,2021-11-23,10-2021-0162619,2024-08-07,10-2694358,최한림,"최한림,김석우,김석우",랜덤 바람에 대한 가속도 시뮬레이션을 이용한 비행체의 실시간 바람 추정 방법 및 장치,나노기술(NT),2024-12-31
199,2021-12-09,10-2021-0175762,2024-04-26,10-2662668,김주호,"김주호,김현우",대화 스크립트에의 컨텍스트 정보 레이블링 장치 및 방법,정보기술(IT),2024-12-31
200,2021-07-20,10-2021-0094704,2024-01-03,10-2622042,유승협,"유승협,김수본,김태현,문한얼",3차원 형상을 갖는 단단한 아일랜드 패턴을 이용한 신축성 전자 소자 플랫폼 및 그 제작 방법,정보기술(IT),2024-12-31
201,2021-10-01,10-2021-0130926,2024-03-18,10-2650159,김대겸,"김대겸,김준영,이승훈,이민형,김도현,박형순,박성진,김민기",능동 통기 장치를 구비하는 호흡기 보호구,정보기술(IT),2024-12-31
202,2021-06-25,10-2021-0083390,2024-07-26,10-2690574,강정구,"강정구,최경민,이현신,장수인",비타민 B1의 보호 및 전달을 위한 장용성 조성물,생명공학기술(BT),2024-12-31
203,2021-11-05,10-2021-0151537,2024-02-28,10-2643415,이진우,"이진우,황화웨이,전현우","수전해용 촉매 복합체, 이의 제조방법, 이를 포함하는 수전해용 전극 및 상기 수전해용 전극을 포함하는 수전해용 막전극 접합체",환경/에너지기술(ET),2024-12-31
204,2021-07-23,10-2021-0096964,2024-10-14,10-2719009,박인규,"박인규,최중락,한찬규,이기훈","손가락 착용형 터치센서, 이를 이용한 시스템 및 제어 방법",우주항공기술(ST),2024-12-31
205,2022-02-07,10-2022-0015691,2024-09-05,10-2705196,윤효상,윤효상,초저고도 광학 인공위성,우주항공기술(ST),2024-12-31
206,2021-08-23,10-2021-0111115,2024-02-28,10-2643595,박용근,"박용근,이무성,애르배 제롬 우고네",다중 산란을 고려한 3차원 영상 복원 알고리즘의 컴퓨팅 장치 및 그의 방법,정보기술(IT),2024-12-31
207,2021-09-06,10-2021-0118654,2024-07-24,10-2689252,임성갑,"임성갑,박용천,김유손",열적 잔류응력 제어를 통한 유연 박막봉지 및 그 제조 방법,나노기술(NT),2024-12-31
208,2021-12-13,10-2021-0177897,2024-04-09,10-2657354,조광현,"조광현,김현진,안수균,황채영",SYK 저해제를 포함하는 대장암 예방 또는 치료용 병용투여 조성물,생명공학기술(BT),2024-12-31
209,2021-08-04,10-2021-0102456,2024-06-03,10-2673366,유종원,"유종원,채수창,안병권,조혜원,김구",어레이 안테나,정보기술(IT),2024-12-31
210,2021-11-22,10-2021-0161518,2024-03-08,10-2647247,김재홍,"김재홍,전유빈,한성호,신태용",기존의 배치 플랜트 설비를 이용한 알칼리 활성 콘크리트 생산 방법,나노기술(NT),2024-12-31
211,2021-10-18,10-2021-0138299,2024-04-22,10-2660730,오현택,"오현택,유종민",특징 사전에 기반한 자가 지도 메트릭 학습을 통한 비지도 객체 재 식별 방법,정보기술(IT),2024-12-31
212,2021-11-22,10-2021-0161519,2024-01-11,10-2625731,김재홍,"김재홍,전유빈,한성호,신태용",알칼리 활성 콘크리트 제조 장치,나노기술(NT),2024-12-31
213,2021-12-01,10-2021-0169970,2024-02-05,10-2635418,최성율,"최성율,차준회,이건재",고결정성 이차원소재 제조방법 및 이에 의하여 제조된 고결정성 이차원소재,환경/에너지기술(ET),2024-12-31
214,2021-12-14,10-2021-0178591,2024-10-25,10-2723712,한승헌,"한승헌,윤태성,이철호,권가람,황윤지,이남경,이예환,박문덕","조직의 환경, 사회, 지배구조 점수를 예측하는 방법 및 시스템",환경/에너지기술(ET),2024-12-31
215,2021-09-14,10-2021-0122136,2024-08-07,10-2694155,최정균,"최정균,안도현,조은해,기창석",막 단백질 정보를 이용한 치료 타깃 유전자 발굴 방법 및 분석장치 ,생명공학기술(BT),2024-12-31
216,2021-10-21,10-2021-0140963,2024-01-10,10-2625828,조계춘,"조계춘,강석준",수중터널 지반 접속부의 설계 방법,정보기술(IT),2024-12-31
217,2021-10-01,10-2021-0130530,2024-04-02,10-2655199,유경식,"유경식,한상윤",재순환식 가변 광자 회로 및 그 동작 방법,정보기술(IT),2024-12-31
218,2022-04-04,10-2022-0041819,2024-11-06,10-2728725,배석형,"배석형,이준협,마동혁,조해나",가상 공간 내 메모 객체를 제어하는 전자 시스템 및 그 동작 방법,정보기술(IT),2024-12-31
219,2021-10-19,10-2021-0139686,2024-10-15,10-2719213,안승영,"안승영,송경환,이성희,김현웅",적층 패드 구조의 패드 패턴층들을 포함하는 반도체 장치 및 그 제조 방법,정보기술(IT),2024-12-31
220,2022-03-21,10-2022-0034824,2024-04-22,10-2660836,이성주,"이성주,공태식,윤형준,이택경,안재하","애드혹 라우팅 강화학습 시스템, 방법, 컴퓨터 판독 가능한 기록 매체 및 컴퓨터 프로그램",정보기술(IT),2024-12-31
221,2021-12-09,10-2021-0175659,2024-08-20,10-2698263,임성갑,"임성갑,최준환,남왕우,강주연",신축성 고분자 절연 소재 및 그 제작 방법,정보기술(IT),2024-12-31
222,2022-06-14,10-2022-0072314,2024-06-11,10-2675600,김경수,"김경수,김현빈",6축 힘 토크 센서,정보기술(IT),2024-12-31
223,2021-12-21,10-2021-0184054,2024-02-19,10-2639792,류승탁,"류승탁,유형진",시간 영역에서의 카오스 기반 난수 발생기,정보기술(IT),2024-12-31
224,2021-12-13,10-2021-0177624,2024-07-04,10-2683047,조용훈,"조용훈,문지환,최민호,우기영",마이크로 LED의 패터닝 방법 및 이를 이용한 마이크로 LED의 제조방법,나노기술(NT),2024-12-31
225,2021-11-19,10-2021-0160475,2024-11-26,10-2736477,김민수,"김민수,박힘찬,이지은",Barabasi-Albert(BA) 모델 기반 대규모 그래프를 생성하는 방법 및 이를 수행하는 장치,정보기술(IT),2024-12-31
226,2022-02-25,10-2022-0025051,2024-07-24,10-2689482,이흥규,"이흥규,지상근,강지현",라인 인터레이싱 특성에 기반한 영상 암호화 방법 및 영상 복호화 장치,정보기술(IT),2024-12-31
227,2021-10-15,10-2021-0137711,2024-01-18,10-2628180,김용훈,김용훈,1차원 및 2차원 양자 나노구조의 광 특성의 정확한 전산 모사를 위한 제1원리 기반의 유효질량 근사 시뮬레이션 방법 및 그 시스템,정보기술(IT),2024-12-31
228,2022-08-10,10-2022-0099653,2024-12-31,10-2750277,이정철,"이정철,정문경,김태영,이봉재",캐비티 웨이퍼 제작 방법,나노기술(NT),2024-12-31
229,2022-02-04,10-2022-0015125,2024-09-24,10-2711214,윤준보,"윤준보,이용복,최판규,김수현,김태수",기계식 배선 메모리,정보기술(IT),2024-12-31
230,2021-10-13,10-2021-0135516,2024-08-06,10-2694021,오현택,"오현택,김민경,최준균,김나경",5G 기반 IOT 환경을 위한 지능형 트러스트 인에이블러 시스템,정보기술(IT),2024-12-31
231,2021-11-17,10-2021-0158428,2024-05-23,10-2669823,김일두,"김일두,김동하",금속유기구조체 분자거름체층 및 금속산화물 박막이 코팅된 나노섬유 얀 기반 웨어러블 가스센서 및 그 제조방법,나노기술(NT),2024-12-31
232,2022-05-13,10-2022-0058796,2024-09-10,10-2706869,조병진,"조병진,신의중,이규섭,김형진",듀얼 스위칭 메모리 소자,정보기술(IT),2024-12-31
233,2022-05-13,10-2022-0059004,2024-11-12,10-2730613,전상훈,"전상훈,김태호","음의 정전용량 블로킹 산화층을 포함하는 비휘발성 메모리, 이의 동작 방법 및 이의 제조 방법",정보기술(IT),2024-12-31
234,2021-10-26,10-2021-0144041,2024-04-30,10-2663922,임성갑,"임성갑,정희태,이은정,윤근태,조영학,안현아",마이크로-나노 스케일의 계층적 패턴 기반 세포 배양 및 성숙 유도 기판,생명공학기술(BT),2024-12-31
235,2022-01-24,10-2022-0010077,2024-11-06,10-2728714,장재범,"장재범,심주은,박찬이,조인,민경배",팽창된 전-유기체의 생물학적 구조 정보를 초고해상도로 관찰하기 위한 이미징 방법,생명공학기술(BT),2024-12-31
236,2021-12-15,10-2021-0180032,2024-12-24,10-2748131,강준혁,"강준혁,공진우",분산 네트워크 시스템에서 베이지안 연합 변분 학습 및 비학습을 수행하는 방법 및 장치,정보기술(IT),2024-12-31
237,2021-11-26,10-2021-0165213,2024-01-10,10-2624982,김성수,"김성수,홍현수,SARFRAZ MUHAMMAD SALMAN,온승윤,정재문","굽힘 변형 측정이 가능한 복합재, 이를 포함하는 스프링 및 그 제조방법",나노기술(NT),2024-12-31
238,2022-01-20,10-2022-0008714,2024-10-29,10-2725277,이행기,"이행기,김나루,길태건",콘크리트 구조물의 탄산화 양생용 거푸집 시스템 및 이를 이용한 콘크리트의 탄산화 양생 방법,환경/에너지기술(ET),2024-12-31
239,2021-10-15,10-2021-0137093,2024-02-28,10-2643198,장인권,"장인권,고혁진,천봉주",노드-링크 그래프 기반 골 미세구조 표현을 활용한 인공신경망으로 재구성된 골격계 영상의 골 미세구조 연결성 복구를 위한 컴퓨터 장치 및 그의 방법,생명공학기술(BT),2024-12-31
240,2021-12-08,10-2021-0174523,2024-11-05,10-2727790,김철,"김철,이상현",센서 거리 변화에 의한 왜곡을 경감시키는 실시간 광용적맥파 동잡음 감쇠를 위한 컴퓨터 장치 및 그의 방법,정보기술(IT),2024-12-31
241,2021-12-01,10-2021-0170076,2024-12-26,10-2748569,조병진,"조병진,박영근,정재중,노세민",선택적 레이저 열처리를 통한 모놀리식 3D 상부소자를 포함하는 다층 게이트 캐퍼시터 및 이의 제조방법,나노기술(NT),2024-12-31
242,2021-09-28,10-2021-0127935,2024-08-12,10-2695726,정명수,"정명수,국동현,권미령",컴퓨팅 장치 및 스토리지 카드,정보기술(IT),2024-12-31
243,2021-12-22,10-2021-0185257,2024-08-28,10-2701668,제민규,"제민규,조동희,김철",부하 구동 장치,정보기술(IT),2024-12-31
244,2021-11-30,10-2021-0169535,2024-04-24,10-2661792,이현주,"이현주,강기훈,임진규",산화 이리듐계 전기화학 촉매 및 그 제조방법,나노기술(NT),2024-12-31
245,2021-11-30,10-2021-0169537,2024-08-20,10-2698379,김종환,"김종환,송택진,정종오,김영민",딥러닝 기반 장애물 검출 시스템 및 방법,정보기술(IT),2024-12-31
246,2021-11-23,10-2021-0162698,2024-11-28,10-2737769,김민수,"김민수,박힘찬,박성우",시뮬레이션 기반 그래프 처리 방법 및 이를 수행하는 장치,정보기술(IT),2024-12-31
247,2021-12-28,10-2021-0189684,2024-11-28,10-2737434,조광현,"조광현,정창영",TEAD4 억제제를 포함하는 대장암 예방 또는 치료용 조성물,생명공학기술(BT),2024-12-31
248,2021-11-08,10-2021-0152377,2024-01-15,10-2626742,김일두,"김일두,조유장,임해성,김민수",2차원 형상의 흡습성 나노클레이가 비대칭으로 코팅되어 첨가된 에너지 발전기 및 에너지 발전기의 제조 방법,나노기술(NT),2024-12-31
249,2021-11-25,10-2021-0164450,2024-04-22,10-2660812,강정구,"강정구,이희빈,박동규,김기환",원자수준의 백금이 담지된 비정질 형태의 C60-x 풀러렌 수소 저장 소재의 제조 및 이를 이용한 수소 저장의 구현,나노기술(NT),2024-12-31
250,2022-01-06,10-2022-0002320,2024-11-06,10-2728823,임성갑,"임성갑,강석조,이민석,전동민",배양 기판의 표면 에너지 조절을 통한 수지상 세포 분화 및 성장 유도 배양법,생명공학기술(BT),2024-12-31
251,2022-03-18,10-2022-0033916,2024-03-28,10-2653854,이정익,"이정익,손인우,최성욱,김종원,김정,이희성",비활성 기체 액화장치,환경/에너지기술(ET),2024-12-31
