순번,출원일,출원번호,등록일,등록번호,주발명자,공동발명자,출원의 명칭(한),분야별 기술(6T),데이터기준일
252,2021-11-18,10-2021-0159552,2024-01-11,10-2625426,남택진,"남택진,조광민,조형준,김태완",이동형 오폐수 처리장치,나노기술(NT),2024-12-31
253,2021-12-29,10-2021-0190937,2024-11-18,10-2733001,전원주,"전원주,유현빈,김지완",면적 분할을 이용한 광대역 흡음장치,정보기술(IT),2024-12-31
254,2022-03-17,10-2022-0033573,2024-12-31,10-2750288,배현민,"배현민,오석환,김명기,김영민,정구일",의료 초음파의 정량적 이미징 방법 및 장치,생명공학기술(BT),2024-12-31
255,2021-12-10,10-2021-0176567,2024-08-12,10-2695575,김천곤,"김천곤,장우혁,장민수,김솔",금속 코팅 섬유를 안테나 패치로 이용한 구조 안테나,우주항공기술(ST),2024-12-31
256,2021-11-17,10-2021-0158722,2024-08-07,10-2694292,최재식,"최재식,박범진,강청웅",다중 로봇에 복수의 작업을 할당하는 방법 및 장치,정보기술(IT),2024-12-31
257,2021-11-15,10-2021-0156923,2024-08-07,10-2694286,이기혁,"이기혁,안성근,김태준,김연수,박휘성",전자 장치의 관심 영역 시각화 방법,정보기술(IT),2024-12-31
258,2021-11-15,10-2021-0156921,2024-02-05,10-2635076,이기혁,"이기혁,김선범,김연수,박근우,윤은혜,박휘성",컨트롤러 및 그의 동작 방법,정보기술(IT),2024-12-31
259,2021-11-10,10-2021-0154223,2024-04-24,10-2661819,최호진,"최호진,임채균",시간적 관계정보의 컨텍스트 이해를 위한 오픈 도메인 정보 활용 방법,정보기술(IT),2024-12-31
260,2023-01-13,10-2023-0005498,2024-12-03,10-2739327,안승영,"안승영,신유준,이재원,박동렬,이창민,우성호",무선 전력 전송 시스템,정보기술(IT),2024-12-31
261,2021-11-11,10-2021-0154973,2024-04-01,10-2654852,명현,"명현,이응창,최준호,신성재,정광익",이동 로봇 및 이의 위치 추정 방법,정보기술(IT),2024-12-31
262,2022-01-05,10-2022-0001569,2024-03-20,10-2651047,안승영,"안승영,신유준,우성호,손석현,이창민,이철,은희현,곽규민,최석민",무선전력전송 시스템의 송수신코일 간 결합계수 산출 장치 및 방법,정보기술(IT),2024-12-31
263,2021-10-01,10-2021-0130686,2024-02-28,10-2643601,예종철,"예종철,권태성",가역적 뉴럴 네트워크를 이용한 효율적 비지도 학습 기반 저 선량 엑스선 전산단층 촬영 영상 처리 방법 및 장치,정보기술(IT),2024-12-31
264,2021-10-01,10-2021-0130970,2024-09-04,10-2704944,조성환,"조성환,최한길,이상흥",대역폭과 무관한 빠른 변조가 가능한 위상고정루프 기반의 주파수 변조 시스템 및 그 방법,정보기술(IT),2024-12-31
265,2022-01-26,10-2022-0011715,2024-08-01,10-2692522,오지훈,"오지훈,김도희",알코올의 산화 반응용 촉매 및 이의 제조방법,환경/에너지기술(ET),2024-12-31
266,2022-02-21,10-2022-0022321,2024-10-07,10-2715946,유승화,"유승화,정지영,김용태,박진규",복합재 유효 거동 예측 모델의 생성 방법 및 생성 장치,정보기술(IT),2024-12-31
267,2021-11-10,10-2021-0153901,2024-03-21,10-2651481,정희태,"정희태,송지윤,김찬솔,정현수","단일 및 다성분계 나노입자 고밀도화, 고균일화 및 그 제조방법",나노기술(NT),2024-12-31
268,2022-01-19,10-2022-0007747,2024-11-05,10-2727722,유홍기,"유홍기,김완준,김완배",근적외선 분광분석법 기반의 조직 검사 적합도 판단 장치 및 방법,생명공학기술(BT),2024-12-31
269,2021-12-17,10-2021-0182196,2024-08-20,10-2698264,강지훈,"강지훈,장민성,한성수",양방향 인터페이스 조합기를 지원하는 하드웨어 기술 언어,정보기술(IT),2024-12-31
270,2022-01-11,10-2022-0004049,2024-07-30,10-2691100,최재혁,"최재혁,박선의,유세연,최서진",파워게이팅 인젝션 락킹 주파수 체배기 기반의 위상 감지기를 이용한 초저잡음 저전력 W/D-밴드 위상고정루프,정보기술(IT),2024-12-31
271,2022-01-25,10-2022-0010679,2024-08-06,10-2693986,박제균,"박제균,김휘수",액적 포획 구조 어레이 및 이를 이용한 스페로이드 전달 및 스페로이드 어레이의 형성 방법,생명공학기술(BT),2024-12-31
272,2021-10-13,10-2021-0135440,2024-04-22,10-2660745,예종철,"예종철,송준영",연합학습 및 비지도 학습 기반 뉴럴 네트워크를 이용한 개인정보를 보호하는 영상 변환 방법 및 그 장치,정보기술(IT),2024-12-31
273,2021-11-04,10-2021-0150739,2024-12-24,10-2748173,정현정,"정현정,양승주,임산해",비천연 아미노산이 잔기-선택적으로 도입된 유전자 편집 단백질 및 이를 이용한 유전자 편집 방법,생명공학기술(BT),2024-12-31
274,2021-11-04,10-2021-0150846,2024-12-24,10-2748180,정현정,"정현정,박희성,Marcel Janis Beha,김주찬,김윤수,양승주",비천연 아미노산이 위치-특이적으로 도입된 유전자 편집 단백질 및 이를 이용한 유전자 편집 방법,생명공학기술(BT),2024-12-31
275,2021-12-13,10-2021-0178074,2024-05-13,10-2666972,권태혁,"권태혁,주현우",유도분극 스펙트럼 분석기법을 이용한 미생물 모니터링 시스템 및 그 방법,정보기술(IT),2024-12-31
276,2021-12-30,10-2021-0191993,2024-08-01,10-2692228,전원주,"전원주,이재연,안준용,김찬규,박성민",진동감쇠장치,나노기술(NT),2024-12-31
277,2021-11-12,10-2021-0155585,2024-06-03,10-2673155,예종철,"예종철,정형진",스코어 기반의 확산 모델을 이용한 자기공명영상 복원 방법 및 그 장치,정보기술(IT),2024-12-31
278,2022-01-17,10-2022-0006742,2024-07-04,10-2682987,전석우,"전석우,현가예",순차적 이중 템플레이팅 기술을 이용한 상호 연결 된 3차원 금속 나노 쉘 구조의 제조 방법,나노기술(NT),2024-12-31
279,2021-10-14,10-2021-0136915,2024-03-18,10-2650055,박용근,"박용근,한승윤,양승범",미생물 콜로니 검출 시스템,문화기술(CT),2024-12-31
280,2022-01-27,10-2022-0012563,2024-12-18,10-2745750,이정철,"이정철,김태영,정문경,정재우,이봉재","위조 방지 태그, 위조 방지 태그의 제조 방법 및 위조 방지 시스템",나노기술(NT),2024-12-31
281,2021-12-06,10-2021-0172837,2024-08-20,10-2698265,하정석,"하정석,한석주",신뢰 전파 복호기 기반의 고속 수렴 극 부호 설계 방법 및 그 장치,정보기술(IT),2024-12-31
282,2021-11-15,10-2021-0157112,2024-03-05,10-2645640,윤국진,"윤국진,권혁준,강윤수,정우성,김현성,박휘성",이미지 스티칭 학습 및 평가를 위한 이미지 데이터셋 생성 장치 및 그 방법,정보기술(IT),2024-12-31
283,2021-12-13,10-2021-0178089,2024-07-04,10-2683122,김대중,"김대중,오상민,이주용",슬롯 안테나 ,정보기술(IT),2024-12-31
284,2021-11-26,10-2021-0166112,2024-02-05,10-2635554,정기훈,"정기훈,김기수,김현경",이미지를 생성하기 위한 장치 및 방법,정보기술(IT),2024-12-31
285,2021-12-21,10-2021-0183559,2024-10-30,10-2725655,이대영,"이대영,정광필,이상준,박소정,정평호",붐 어셈블리,우주항공기술(ST),2024-12-31
286,2021-11-17,10-2021-0158871,2024-11-28,10-2737733,정연식,"정연식,김민준,구민재,조승희,박형준,이민영",대사체 분류 및 분석을 위한 유전이동 기반 다이나믹 SERS 나노소자,나노기술(NT),2024-12-31
287,2021-11-17,10-2021-0158858,2024-05-23,10-2669963,성영철,"성영철,배소희",리아푸노프 최적화 기반 강화학습을 활용한 에지 컴퓨팅 대기열 안정화를 위한 컴퓨터 장치 및 그의 방법,정보기술(IT),2024-12-31
288,2021-11-11,10-2021-0155141,2024-08-12,10-2695727,김정원,"김정원,안창민","전광 샘플링 기반 타이밍 검출기의 모호함 없는 거리를 늘리는 방법, 이를 이용한 거리 측정 방법 및 거리 측정 시스템",나노기술(NT),2024-12-31
289,2021-11-11,10-2021-0155142,2024-09-20,10-2709581,김정원,"김정원,권도현","칩-스케일 펄스 생성기, 그리고 이의 타이밍 안정화 방법",정보기술(IT),2024-12-31
290,2021-11-08,10-2021-0152227,2024-03-04,10-2644999,김정원,"김정원,전익주,전원주,이재연",광섬유 스풀,나노기술(NT),2024-12-31
291,2021-12-16,10-2021-0180233,2024-07-23,10-2689121,김형준,"김형준,최창혁,김동현,김우열,배근수,스테판 링게",선택적인 하이드록실아민 생산을 위한 단원자 철 기반 전기화학촉매와 그 시스템 ,환경/에너지기술(ET),2024-12-31
292,2021-11-23,10-2021-0162287,2024-04-03,10-2655734,이필승,"이필승,배준한,현철규",플렉서블 디스플레이의 주름 방지 장치,정보기술(IT),2024-12-31
293,2021-10-21,10-2021-0140766,2024-12-05,10-2741125,정재승,"정재승,김선일",뇌파분석을 통한 흡연 인지 측정 시스템  ,정보기술(IT),2024-12-31
294,2022-05-20,10-2022-0062296,2024-07-24,10-2689539,조병관,"조병관,성재민,김혜성",에스테야 베르미콜라에서 발현 가능한 프로모터 및 이의 이용,생명공학기술(BT),2024-12-31
295,2022-04-06,10-2022-0043103,2024-10-22,10-2722223,유승협,"유승협,심지훈,채현욱",수직 증착용 지그,정보기술(IT),2024-12-31
296,2022-01-25,10-2022-0010762,2024-01-18,10-2628365,이한석,"이한석,도인환,김도형,이재훈","브릴루앙 산란을 이용한 솔리톤 생성기, 그리고 이의 동작 방법",정보기술(IT),2024-12-31
297,2023-01-04,10-2023-0001398,2024-11-06,10-2728697,우운택,"우운택,박혜림,전익범",영상 콘텐츠에 대한 증강 현실 처리 방법 및 시스템,정보기술(IT),2024-12-31
298,2021-11-17,10-2021-0158872,2024-03-04,10-2644803,정연식,"정연식,구민재,김민준,이규락,조승희",나노 전사 프린팅 기반 SERS 소자를 이용한 전기화학적 대사체 추출 방법 및 장치,나노기술(NT),2024-12-31
299,2021-12-13,10-2021-0177991,2024-04-02,10-2655186,안승영,"안승영,허성렬,최세민,박범진,박동렬,이범선",비활성화된 송신 코일의 결합 계수를 산출하는 무선전력 전송 시스템 및 그 방법,정보기술(IT),2024-12-31
300,2021-12-15,10-2021-0180100,2024-11-11,10-2730197,안승영,"안승영,신유준,우성호,이창민,이재원,손석현,박범진,허성렬,김해림,박동렬,이범선",무선 전력 전송 시스템,정보기술(IT),2024-12-31
301,2021-11-29,10-2021-0166614,2024-08-06,10-2693958,이기혁,"이기혁,정진근,손선민,이상윤,김연수",시각 장애인의 실시간 2 차원 촉각 입출력 인터랙션을 위한 촉각 인터페이스를 제공하는 컴퓨터 시스템 및 그의 방법,정보기술(IT),2024-12-31
302,2021-11-05,10-2021-0151154,2024-10-22,10-2722102,이정용,"이정용,김경민",희생층을 이용한 투명 전도성 네트워크 제조방법,정보기술(IT),2024-12-31
303,2021-11-05,10-2021-0151155,2024-01-18,10-2628299,이정용,"이정용,김경민",마스터몰드를 이용한 투명 전도성 네트워크 제조방법,정보기술(IT),2024-12-31
304,2021-11-05,10-2021-0151156,2024-10-22,10-2722103,이정용,"이정용,김경민",나노마스크를 이용한 투명 전도성 네트워크 제조방법,정보기술(IT),2024-12-31
305,2022-03-21,10-2022-0034774,2024-11-05,10-2727886,나양섭,"나양섭,이필승,조정희,이승규,박문수",운용 중인 잠수함 또는 잠수정을 위한 수중 급전 장치 및 이를 이용한 수중 급전 방법,정보기술(IT),2024-12-31
306,2021-11-23,10-2021-0162030,2024-05-17,10-2669229,정성윤,"정성윤,임영환",이온 치환을 통한 이리듐계 산화물 촉매의 산소 발생 반응 안정성 향상 방법,환경/에너지기술(ET),2024-12-31
307,2021-12-14,10-2021-0179207,2024-04-09,10-2657215,안승영,"안승영,박범진,허성렬,신유준,우성호,손석현,이상욱,김해림,박동렬,이범선","자성체 포화현상을 이용하여 누설 자기장의 고조파 성분을 상쇄하는 무선 전력 전송 시스템, 및 그 동작 방법",정보기술(IT),2024-12-31
308,2021-12-14,10-2021-0178820,2024-05-23,10-2669810,안승영,"안승영,김종욱,김해림,박범진,허성렬,박동렬,이범선","전도성 매질에서 송신 코일과 수신 코일이 오정렬된 자기 결합 코일 회로의 등가 회로 모델링 방법, 및 이를 이용하는 무선 전력 전송 시스템",정보기술(IT),2024-12-31
309,2021-12-17,10-2021-0182111,2024-11-09,10-2729899,유승협,"유승협,이태우,김주성,박재혁",발광 소자의 발광특성 측정 장치 및 이의 측정방법,정보기술(IT),2024-12-31
310,2021-11-23,10-2021-0162688,2024-04-02,10-2655201,박형순,"박형순,이건도",부상 방지 가이드라인 생성 방법 및 이를 수행하는 장치,나노기술(NT),2024-12-31
311,2022-01-13,10-2022-0005258,2024-11-08,10-2729620,김상율,"김상율,김성종",트리플루로메틸기를 포함하는 다중고리형 단량체를 사용하여 제조되는 폴리이미드 전구체 및 이를 이용하여 수득되는 유연성 폴리이미드,나노기술(NT),2024-12-31
312,2022-03-18,10-2022-0034025,2024-11-06,10-2728740,맹성현,"맹성현,홍기원,김정환,강준모,김경민",자연어 처리 방법 및 장치,정보기술(IT),2024-12-31
313,2021-12-01,10-2021-0170219,2024-08-20,10-2698404,이도창,"이도창,강문성","양자점 리간드 가교제, 이를 포함하는 양자점 잉크 조성물, 및 이를 이용하여 제조된 양자점 패턴",나노기술(NT),2024-12-31
314,2022-02-10,10-2022-0017807,2024-01-18,10-2628251,신승원,"신승원,김진우,김경우",네트워크 토폴로지 난독화 방법 및 그 장치,정보기술(IT),2024-12-31
315,2022-02-04,10-2022-0014879,2024-05-21,10-2669207,최경철,"최경철,노병주,구자욱,이지윤,이지은,주빛나",뇌기능 조절을 위한 유기 발광 단기 시각 자극 플랫폼 ,생명공학기술(BT),2024-12-31
316,2021-12-01,10-2021-0169670,2024-05-03,10-2664782,배석형,"배석형,이상현,이준협,마동혁,김한빛,성재호","가상 현실 공간에 대한 제어를 수행하는 전자 시스템, 전자 장치 및 그 동작 방법",정보기술(IT),2024-12-31
317,2022-04-27,10-2022-0052239,2024-08-27,10-2701306,오지훈,"오지훈,이주호","광전기화학전지용 전극, 이의 제조방법 및 이를 포함하는 광전기화학전지",나노기술(NT),2024-12-31
318,2021-11-04,10-2021-0150239,2024-02-15,10-2638409,한동수,한동수,휴대형 복합 신호수집 기기와 QR 코드를 활용한 실내외 통합 위치인식 방법 및 시스템,정보기술(IT),2024-12-31
319,2021-10-07,10-2021-0132930,2024-09-04,10-2704643,박효훈,"박효훈,이현우,윤현호",직접 광결합 와이어를 포함하는 광 모듈 패키지,정보기술(IT),2024-12-31
320,2022-07-01,10-2022-0081494,2024-12-19,10-2746538,최지환,"최지환,전수현",위성망의 보안 위협 분석 장치 및 방법,정보기술(IT),2024-12-31
321,2021-12-30,10-2021-0193535,2024-08-07,10-2694140,이관수,"이관수,성영훈,김인기,정연주",소라페닙의 간암에 대한 활성 증진용 조성물,생명공학기술(BT),2024-12-31
322,2021-11-24,10-2021-0163215,2024-07-29,10-2690862,정기준,"정기준,손재우,김선창",페닐알라닌 검출용 바이오센서 및 그 용도,생명공학기술(BT),2024-12-31
323,2022-01-06,10-2022-0001866,2024-08-06,10-2693959,이상완,"이상완,주신영",유추에 의한 자기 지도 강화학습 방법,정보기술(IT),2024-12-31
324,2021-11-29,10-2021-0166872,2024-04-17,10-2659389,박종철,"박종철,송호윤",신뢰도와 언어폭력 간 의존성을 이용한 언어폭력 수정 및 텍스트 신뢰도 증강 시스템 및 그 방법,정보기술(IT),2024-12-31
325,2021-12-02,10-2021-0171233,2024-08-20,10-2698088,조원기,"조원기,김형표",CTCF매개 전사체 응축 촉진용 조성물 ,생명공학기술(BT),2024-12-31
326,2022-04-01,10-2022-0041240,2024-11-27,10-2736766,정기훈,"정기훈,전재훈,안명수,박정우,김기범",단일 픽셀 마이크로 분광기 및 이의 제조방법,정보기술(IT),2024-12-31
327,2021-11-11,10-2021-0154485,2024-11-13,10-2731250,전석우,"전석우,신종화,남상현,김명준,김나영",위상마스크 및 3차원 미세 구조체를 제조하는 방법,나노기술(NT),2024-12-31
328,2022-01-07,10-2022-0002748,2024-03-04,10-2644998,김갑진,"김갑진,강준호",금속과 실리콘 접합 구조를 적용한 자기장 센서,나노기술(NT),2024-12-31
329,2022-02-24,10-2022-0024593,2024-11-12,10-2730648,정기훈,"정기훈,박정우,전재훈,김기범",초박형 마이크로 분광기 및 이의 제조방법,정보기술(IT),2024-12-31
330,2021-11-18,10-2021-0159799,2024-07-29,10-2690598,김범준,"김범준,김진석,문홍철,인예령",전기변색용 화합물 및 이를 포함하는 전기변색 소자,정보기술(IT),2024-12-31
331,2022-01-04,10-2022-0000986,2024-08-06,10-2694022,장인권,"장인권,김민기,강민석",다중 수신 무선전력전송의 최적 동작 상태 결정을 위한 송수신 간의 상호 인덕턴스 실시간 추정 방법 및 장치,정보기술(IT),2024-12-31
332,2022-01-13,10-2022-0005112,2024-04-22,10-2660747,최준균,"최준균,서현석",IoT 환경 센서를 활용하여 비화재보를 줄이는 엣지-AI 기반 지능형 화재 감지 시스템,정보기술(IT),2024-12-31
333,2022-01-19,10-2022-0007960,2024-08-28,10-2701562,정완영,"정완영,강경훈",정적인 변화 감지 플립플롭,정보기술(IT),2024-12-31
334,2022-05-02,10-2022-0054401,2024-09-03,10-2704329,최양규,"최양규,한준규",빛에 반응하는 시냅스 소자 및 이를 이용한 인센서 비전 시스템,정보기술(IT),2024-12-31
335,2022-05-02,10-2022-0054272,2024-05-10,10-2666553,박성욱,"박성욱,양동하",고이득 KA 밴드용 이중 오프셋 리플렉트어레이 안테나,정보기술(IT),2024-12-31
336,2022-11-22,10-2022-0156969,2024-07-03,10-2682546,박성욱,"박성욱,맹지열,고동식,김형규,곽상은","K 대역용 레이더 센서를 위한 고방사 효율, 소형화, 광대역 및 넓은 빔폭의 제로 모드 유도 캐비티 패치 안테나",우주항공기술(ST),2024-12-31
337,2022-02-28,10-2022-0025890,2024-01-23,10-2629717,박성욱,"박성욱,박진기,지예은",주파수 가변 범위 확장 및 방사부 소형화를 위한 액정 기반 마이크로스트립 패치 안테나,정보기술(IT),2024-12-31
338,2021-12-06,10-2021-0172570,2024-07-26,10-2690561,예종철,"예종철,양세린,김응엽",적응적 인스턴스 정규화 기반 CT 영상 스타일 변환 방법 및 그 장치,정보기술(IT),2024-12-31
339,2022-02-22,10-2022-0023077,2024-04-23,10-2661042,강준혁,"강준혁,정성아,하대한",무인항공기를 이용한 보안 통신 방법,정보기술(IT),2024-12-31
340,2022-01-28,10-2022-0013080,2024-11-11,10-2729995,강정구,"강정구,박민규,최종휘,김동원",리튬 삽입 과정을 통한 팔라듐 금속의 나노다공화와 그에 따른 수소 저장 재료 응용 및 성능 향상,나노기술(NT),2024-12-31
341,2021-12-10,10-2021-0176503,2024-07-24,10-2689320,박진아,"박진아,장재현",가상 유체와의 상호작용에 기반한 촉각 피드백 제공 방법 및 이를 수행하는 장치,정보기술(IT),2024-12-31
342,2021-12-23,10-2021-0185588,2024-09-20,10-2709524,최양규,"최양규,김명수",장시간 전하 저장 DRAM 소자와 그 동작 방법,정보기술(IT),2024-12-31
343,2022-10-27,10-2022-0140414,2024-08-28,10-2701529,김경수,"김경수,최경환,장인권",하이브리드 차량의 과도특성을 고려한 동력제어 방법 및 장치,환경/에너지기술(ET),2024-12-31
344,2021-12-14,10-2021-0178941,2024-09-03,10-2704323,제민규,"제민규,정경원,윤기찬",초음파 신호 처리 회로 ,정보기술(IT),2024-12-31
345,2022-05-02,10-2022-0054380,2024-09-24,10-2710967,박성욱,"박성욱,박준성",다채널 레이더에서의 딥러닝 알고리즘을 이용한 타겟 드론의 고도 실시간 추정 방법 및 시스템,정보기술(IT),2024-12-31
346,2022-03-15,10-2022-0032079,2024-09-20,10-2709590,박용화,"박용화,김성후",시계열 데이터 적응형 컨볼루션 기반 딥러닝 모델을 이용한 화자 인식 방법,정보기술(IT),2024-12-31
347,2022-07-13,10-2022-0086360,2024-03-07,10-2646613,서효원,"서효원,우제혁,정민규",딥러닝 기반 온라인 상품평에 대한 속성 기반 감성 분석 및 제품 개발에 적용을 위한 컴퓨터 장치 및 그의 방법,정보기술(IT),2024-12-31
348,2022-03-04,10-2022-0028155,2024-09-03,10-2704041,권태혁,"권태혁,이기준,함수민",터널 굴착기용 버력 배출장치,환경/에너지기술(ET),2024-12-31
349,2022-01-14,10-2022-0005943,2024-11-06,10-2728739,전상용,"전상용,송준혁,서창진,김도현",줄기세포 스페로이드 제조용 기판 및 이를 이용한 줄기세포 스페로이드 제조방법,생명공학기술(BT),2024-12-31
350,2022-02-10,10-2022-0017236,2024-12-18,10-2745571,신종화,"신종화,장태용,정준교",유니버셜 메타 표면을 포함하는 광학 측정 장치 및 이를 이용한 광학 측정 방법,나노기술(NT),2024-12-31
351,2022-04-12,10-2022-0045126,2024-12-24,10-2748262,박찬범,"박찬범,장진형",삼원 칼코게나이드 물질을 포함하는 베타-아밀로이드 응집체 분해용 조성물 및 이의 용도,나노기술(NT),2024-12-31
352,2022-06-15,10-2022-0072628,2024-12-04,10-2740479,권동수,"권동수,김한솔,유재민,공덕유",강성 증강 수술 장치,생명공학기술(BT),2024-12-31
353,2021-12-20,10-2021-0183064,2024-11-13,10-2731667,제민규,"제민규,최재석,김철",초음파 펄서 및 커패시터브 부하 구동 장치 ,정보기술(IT),2024-12-31
354,2022-06-03,10-2022-0068365,2024-04-30,10-2663391,김천곤,"김천곤,장우혁,장민수,진도현,김민성",전자파 흡수 구조체 및 그것의 제조 방법,우주항공기술(ST),2024-12-31
355,2022-08-09,10-2022-0099198,2024-12-18,10-2745542,명현,"명현,유병호,이현규",벽면 부착을 위한 준-탈동조화 제어기 기반의 공중 변형 드론 및 그 제어 방법,정보기술(IT),2024-12-31
356,2021-12-23,10-2021-0186139,2024-02-26,10-2642058,김문철,"김문철,기세환","시간 적응적, 공간 선택적 시그널링을 이용한 뉴럴 네트워크 처리 방법 및 장치",정보기술(IT),2024-12-31
357,2022-05-02,10-2022-0054350,2024-12-18,10-2745541,명현,"명현,이현규,정명우,김찬영,임형태",벽면 부착을 위한 틸팅 드론의 강화학습 기반 낮은 수준의 자세 제어 방법 및 장치,정보기술(IT),2024-12-31
358,2022-08-04,10-2022-0097492,2024-08-19,10-2697973,명현,"명현,현지음",UWB 및 관성 센서 기반의 로봇 위치 추정 장치 및 방법,정보기술(IT),2024-12-31
359,2022-04-15,10-2022-0046790,2024-11-07,10-2729263,홍화정,"홍화정,한경식,유희정,김보관",게임 기반 애플리케이션을 이용한 자폐 스펙트럼 장애인 루틴 관리 방법 및 단말장치,정보기술(IT),2024-12-31
360,2022-04-22,10-2022-0049978,2024-11-06,10-2728744,강병훈,"강병훈,김은진",개인 위치 정보의 민감 단계별 프라이버시 보호 및 효율적 원본 위치 복구 기법,정보기술(IT),2024-12-31
361,2021-12-28,10-2021-0189924,2024-03-22,10-2651909,제민규,"제민규,길준호,박철현,김근회,하소명,정윤태,오세인,권순재,최인준",임피던스 측정 장치 및 임피던스 측정 방법,정보기술(IT),2024-12-31
362,2021-12-30,10-2021-0193058,2024-06-24,10-2679025,박지호,"박지호,백우진,정직한",엑소좀 분리용 조성물 및 이를 이용한 엑소좀 분리 방법,생명공학기술(BT),2024-12-31
363,2022-01-27,10-2022-0011916,2024-11-21,10-2734233,박효훈,"박효훈,윤현호,김재용",양방향 연마된 실리카 광 도파로를 이용하는 광 모듈 패키지,나노기술(NT),2024-12-31
364,2022-03-29,10-2022-0038919,2024-12-24,10-2748166,전성윤,"전성윤,성형진,박진수,김승규,남현오,차범석",동적 세포 배양을 위한 음향미세유체 기반 상부 개방형 바이오리액터 및 그의 제조 방법,생명공학기술(BT),2024-12-31
365,2022-04-15,10-2022-0047124,2024-12-03,10-2739549,손수엘,"손수엘,이소영,위성일",강화 학습을 이용한 반사형 크로스 사이트 스크립팅 취약점 탐지 방법 및 시스템,정보기술(IT),2024-12-31
366,2022-02-14,10-2022-0018808,2024-11-27,10-2736776,이필승,이필승,레이어 구조를 이용한 플렉서블 디스플레이의 주름 완화 장치,정보기술(IT),2024-12-31
367,2022-04-15,10-2022-0046794,2024-11-07,10-2729012,가현욱,가현욱,길안내 단말장치 및 그 제어 방법,정보기술(IT),2024-12-31
368,2022-04-14,10-2022-0046231,2024-02-27,10-2642623,가현욱,가현욱,"시각장애 휠체어 사용자를 위한 구동 제어 신호 생성 장치, 이동 보조 수단 및 휠체어",정보기술(IT),2024-12-31
369,2022-03-28,10-2022-0037791,2024-07-24,10-2689251,박현철,"박현철,황민영",지능형 반사 표면을 이용한 무선 에너지 하베스팅 극대화를 위한 컴퓨터 시스템 및 그의 방법,정보기술(IT),2024-12-31
370,2022-04-29,10-2022-0053193,2024-01-19,10-2628692,신종화,"신종화,김나영,김명준",각도 다중화 메타렌즈,나노기술(NT),2024-12-31
371,2022-03-04,10-2022-0027899,2024-11-21,10-2734231,전성윤,"전성윤,김재상,박준하",오가노이드 배양 및 약물 스크리닝을 위한 미세유체 칩 및 그의 이용 방법,생명공학기술(BT),2024-12-31
372,2022-04-01,10-2022-0040989,2024-12-24,10-2748165,정재웅,"정재웅,강인호",자력 기반의 모듈화된 조립형 바이오 전자소자,생명공학기술(BT),2024-12-31
373,2022-03-21,10-2022-0034780,2024-10-04,10-2715760,정원일,"정원일,김희훈", 카테콜아민/ADRB2 매개 간질환 치료제 스크리닝 방법  ,생명공학기술(BT),2024-12-31
374,2022-01-27,10-2022-0012358,2024-11-07,10-2729318,조광현,"조광현,황채영,이종훈,최새롬",악성 유방암의 치료 또는 예방용 약학적 조성물,생명공학기술(BT),2024-12-31
375,2022-02-11,10-2022-0017924,2024-01-02,10-2621307,예종철,"예종철,김의연",블록체인 기술을 활용한 스마트 컨트랙트 기반 데이터와 연산 장치의 사용권한을 결합한 상품으로 NFT 토큰 발행 방법 및 장치,정보기술(IT),2024-12-31
376,2022-02-10,10-2022-0017431,2024-01-17,10-2627563,신종화,"신종화,장태용",고변조 메타물질 구조체,나노기술(NT),2024-12-31
377,2022-05-23,10-2022-0063019,2024-08-07,10-2694321,이진우,"이진우,김성빈","귀금속 원자의 동적배치를 이용한 귀금속 단원자, 클러스터-다공성 몰리브덴 탄화물/탄소 나노복합체, 이의 제조방법, 이를 포함하는 수소생성반응용 또는 수소산화반응용 촉매 및 상기 촉매를 포함하는 전극",나노기술(NT),2024-12-31
378,2022-04-04,10-2022-0041902,2024-12-31,10-2750342,김천곤,"김천곤,차지훈,장우혁,Sathish Kumar Sarath Kumar",지구 궤도 우주 물체의 지상 실험을 위한 시스템,우주항공기술(ST),2024-12-31
